id,EVmutation_spearman,Site_independent_spearman
O95076_PF00046_155_bit_0.9,0.3192459270536152,0.3984980191688172
O95076_PF00046_155_bit_1.0,0.3404369439478704,0.39562908717127093
O95155_PF04564_1229_bit_0.7,0.47674077880135557,0.43424037279646793
O95218_PF00641_11_bit_0.7,0.48137977854609465,0.5110100540901411
O95218_PF00641_9_bit_0.7,0.3024151356200019,0.32853041873357913
O95267_PF00130_539_bit_0.7,0.5076249860368071,0.490166910545638
O95343_PF00046_212_bit_0.7,0.42342947232202016,0.4652320223070958
O95409_PF18366_250_bit_0.7,0.286768851716674,0.3067954961942109
O95475_PF00046_134_bit_0.7,0.4020556436778762,0.4601901848135771
O95714_PF11515_2555_bit_0.7,0.42427445096670374,0.4036544807418808
O95718_PF00105_100_bit_0.7,0.4294763094239688,0.46039775829345636
O95789_PF06467_427_bit_0.7,0.47024672376750554,0.48129009488023033
O95789_PF06467_469_bit_0.7,0.383209467148785,0.3865165531588365
O95793_PF00035_183_bit_0.7,0.5439682868180395,0.5016848947657745
O95793_PF00035_183_bit_0.9,0.5098124018338572,0.5182720994943074
O95793_PF00035_183_bit_1.1,0.45404141244091084,0.4822226518614349
O95817_PF00397_11_bit_0.5,0.3705455874661496,0.1783093963674497
O95817_PF00397_11_bit_0.6,0.404368990001768,0.2121317025380777
O95817_PF00397_11_bit_0.7,0.4170080667348396,0.24546745913261359
O95817_PF00397_11_bit_0.8,0.45010672336556623,0.2816458496293464
O95817_PF00397_11_bit_0.9,0.4573527912158995,0.30348271174787034
O95817_PF00397_11_bit_1.1,0.5026319407732347,0.35516352076439656
O95817_PF00397_11_bit_1,0.2964591490866987,0.13869860980642112
O95835_PF00627_98_bit_0.7,0.49029324152596093,0.4519700881201899
P00519_PF00018_64_bit_0.7,0.4226898063645974,0.39603838542447284
P00519_PF00018_64_bit_0.9,0.4056543337635555,0.4218865756855574
P00519_PF00018_64_bit_1.1,0.39789130583524623,0.38953416401624813
P01053_PF00280_22_bit_0.7,0.4988954040196411,0.5464423111256577
P02417_PF01281_1_bit_0.7,0.4245466671624165,0.41558411572121184
P02417_PF01281_1_bit_0.8,0.4288962839259521,0.4138840426130875
P02417_PF01281_1_bit_0.9,0.4342974610876023,0.41191103806218693
P02417_PF01281_1_bit_1.0,0.43887691639744203,0.40114570863601573
P02417_PF01281_1_bit_1.1,0.46176673193545853,0.44503306550627636
P02417_PF01281_1_bit_1.2,0.42528554500789123,0.41511359175719303
P02417_PF01281_1_bit_1.3,0.417721415462448,0.41935001189071314
P02549_PF00018_979_bit_0.7,0.35760703874984223,0.3127468005447735
P02549_PF00018_979_bit_0.95,0.3946830492100539,0.3319529903197059
P02549_PF00018_979_bit_0.9,0.3966016937418861,0.3330106457141105
P02549_PF00018_979_bit_1.1,0.26946167971890284,0.16687360819803904
P02585_PF13499_1_bit_0.7,0.36916621479598577,0.35952174959641453
P02585_PF13499_1_bit_0.8,0.3876787942761837,0.3631873409148891
P02585_PF13499_1_bit_0.9,0.4026775415537697,0.37405635805552345
P02585_PF13499_1_bit_1.0,0.4113845148579644,0.3775045689289919
P02633_PF01023_1_bit_0.7,0.38986591918195396,0.3498168588589328
P02640_PF02209_762_bit_0.7,0.5230111704990291,0.5080206025367836
P02640_PF02209_792_bit_0.7,0.2993334730608453,0.31635659317810877
P03034_PF01381_4_bit_0.7,0.4704716482037003,0.43869981575137024
P04049_PF02196_58_bit_0.7,0.4615070829931975,0.5116298288928961
P04150_PF00105_419_bit_0.7,0.5612281772915193,0.5518217735334454
P05813_PF00030_31_bit_0.7,0.5287907373116145,0.5398593959711669
P06239_PF00018_63_bit_0.7,0.5506194158155271,0.46971124963678934
P06239_PF00018_63_bit_0.9,0.5754453268856841,0.4917598021882729
P06239_PF00018_63_bit_1.1,0.5836581232579364,0.5559336958454849
P06241_PF00018_83_bit_0.7,0.41473167153414076,0.3898065687693103
P06241_PF00018_83_bit_0.9,0.3946759312782224,0.39666562488746665
P06241_PF00018_83_bit_1.1,0.37416734629505094,0.3920807555579116
P07315_PF00030_4_bit_0.7,0.40345000775952733,0.4229682256163004
P07315_PF00030_91_bit_0.7,0.5192458795597701,0.564174655176277
P07316_PF00030_1_bit_0.7,0.36404488318589456,0.3732490022115142
P07316_PF00030_87_bit_0.7,0.4219299841663273,0.40924242872032335
P07320_PF00030_90_bit_0.7,0.31835767952717087,0.3426428796439414
P07751_PF00018_968_bit_0.7,0.5429652924088519,0.5284366110403026
P07751_PF00018_968_bit_0.9,0.6115444190272801,0.5679028324230944
P07751_PF00018_968_bit_1.1,0.41812870583891726,0.3653923963649253
P07814_PF00458_827_bit_0.7,0.40635912699242027,0.4147797800523227
P08151_PF00096_363_bit_0.9,0.29472560349963245,0.306702120469752
P08151_PF00096_363_bit_1.2,0.27659189531303174,0.2954948432492867
P08235_PF00105_600_bit_0.7,0.5139744319698804,0.47182197646520496
P08631_PF00018_80_bit_0.7,0.4561025030566879,0.43738798959427455
P08631_PF00018_80_bit_0.9,0.4917058167228977,0.47565122240668756
P08631_PF00018_80_bit_1.1,0.43994471942624747,0.43648989345848854
P09086_PF00157_200_bit_0.7,0.36696214981662106,0.4359360040193571
P09327_PF02209_793_bit_0.7,0.2416409103259612,0.2659213823722977
P0A9X9_PF00313_3_bit_0.7,0.6432315416492003,0.6292374837297502
P0A9X9_PF00313_3_bit_0.9,0.6635015651835288,0.636199383045171
P0A9X9_PF00313_3_bit_1.1,0.6702870213635025,0.640361538444048
P0CI26_PF00643_87_bit_0.7,0.44034169337774576,0.43839409629510284
P0CI26_PF00643_87_bit_0.8,0.4359623943366756,0.44001867683511997
P0CI26_PF00643_87_bit_0.9,0.4598048392460548,0.4310815805410592
P0CI26_PF00643_87_bit_1.0,0.4530609108359363,0.42620989119306774
P10070_PF00096_565_bit_0.9,0.3229886535790452,0.30269724945274584
P10070_PF00096_565_bit_1.2,0.31878558057717227,0.3612889206116783
P10071_PF00096_608_bit_0.9,0.4207217841899058,0.37398400903912943
